Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,TreeID,Phylodist
1,3.739,1.00786171552498,DZ,HI,HI05,5.608828265820026
0,0,0.026879060275485,ST,HI,HI05,5.608828265820026
0,0,-0.0910082466214301,BC,HI,HI05,5.6088282658200255
0,0,0.6772624193392955,HI,HI,HI05,0
1,3.867,0.44618329516971417,DZ,HI,HI05,5.608828265820026
1,0.076,0.16127436165291,ST,HI,HI05,5.608828265820026
0,0,-0.1737430162772765,BC,HI,HI05,5.6088282658200255
1,0.63,0.7544433218281046,HI,HI,HI05,0
0,0,-0.7052574665585809,DZ,HI,HI06,5.608828265820026
0,0,-0.5107021452342144,ST,HI,HI06,5.608828265820026
0,0,0.4881351409694911,BC,HI,HI06,5.6088282658200255
0,0,0.8702146755613172,HI,HI,HI06,0
0,0,-0.42441825638094793,DZ,HI,HI06,5.608828265820026
0,0,0.9004485192287472,ST,HI,HI06,5.608828265820026
0,0,-0.3392125555889686,BC,HI,HI06,5.6088282658200255
0,0,0.6772624193392955,HI,HI,HI06,0
1,0.161,-1.2950198079316102,DZ,HI,HI07,5.608828265820026
0,0,0.49726261509647224,ST,HI,HI07,5.608828265820026
0,0,0.07446129269026126,BC,HI,HI07,5.6088282658200255
1,1.027,0.36853880938406136,HI,HI,HI07,0
0,0,0.8393581894184005,DZ,HI,HI07,5.608828265820026
0,0,-1.249876302810051,ST,HI,HI07,5.608828265820026
1,0.245,1.2327480678721052,BC,HI,HI07,5.6088282658200255
1,0.295,0.29135790689525226,HI,HI,HI07,0
1,1.254,1.7942115040223523,DZ,HI,HI08,5.608828265820026
0,0,0.6988555671626094,ST,HI,HI08,5.608828265820026
0,0,-1.0010907128357365,BC,HI,HI08,5.6088282658200255
0,0,-0.5962224717260468,HI,HI,HI08,0
1,0.872,0.1934280060098444,DZ,HI,HI08,5.608828265820026
0,0,-1.1154810014326264,ST,HI,HI08,5.608828265820026
1,0.115,-0.8356211735240441,BC,HI,HI08,5.6088282658200255
1,0.39,-2.371383228968646,HI,HI,HI08,0
1,2.939,1.204449162649323,DZ,HI,HI09,5.608828265820026
0,0,-2.0562481110746007,ST,HI,HI09,5.608828265820026
0,0,0.9845437589045668,BC,HI,HI09,5.6088282658200255
0,0,0.32994835813965645,HI,HI,HI09,0
0,0,-1.3231037289493734,DZ,HI,HI09,5.608828265820026
0,0,-0.2419115424793644,ST,HI,HI09,5.608828265820026
0,0,-0.7528864038681985,BC,HI,HI09,5.6088282658200255
0,0,-1.0978983379033034,HI,HI,HI09,0
0,0,-0.9580127557184508,DZ,HI,HI10,5.608828265820026
0,0,-1.653062206942326,ST,HI,HI10,5.608828265820026
0,0,0.7363394499370296,BC,HI,HI10,5.6088282658200255
0,0,0.6386719680948914,HI,HI,HI10,0
1,2.3520000000000003,0.6427707422940571,DZ,HI,HI10,5.608828265820026
0,0,-0.7122950973003517,ST,HI,HI10,5.608828265820026
0,0,-0.42194732524481426,BC,HI,HI10,5.6088282658200255
0,0,1.3333000904941694,HI,HI,HI10,0
1,1.208,0.8112742684006372,DZ,ST,ST01,3.189217863310539
1,0.108,1.1692391219835967,ST,ST,ST01,0
1,0.458,0.2399308320019541,BC,ST,ST01,5.472930985029703
0,0,0.17558655316203972,HI,ST,ST01,5.608828265820026
0,0,-0.03124336213226168,DZ,ST,ST01,3.189217863310539
1,0.097,3.1851686426449706,ST,ST,ST01,0
1,0.244,0.07446129269026126,BC,ST,ST01,5.472930985029703
1,0.843,0.32994835813965645,HI,ST,ST01,5.608828265820026
1,1.37,0.9516938734894536,DZ,ST,ST02,3.189217863310539
1,0.05599999999999999,1.4380297247384468,ST,ST,ST02,0
1,0.304,-0.1737430162772765,BC,ST,ST02,5.472930985029703
0,0,0.6000815168504872,HI,ST,ST02,5.608828265820026
1,2.799,0.8393581894184005,DZ,ST,ST02,3.189217863310539
1,0.145,3.1851686426449706,ST,ST,ST02,0
1,0.256,-0.00827347696558442,BC,ST,ST02,5.472930985029703
0,0,0.7158528705836997,HI,ST,ST02,5.608828265820026
1,1.029,0.5866029002585307,DZ,ST,ST03,3.189217863310539
0,0,0.9004485192287472,ST,ST,ST03,0
0,0,-0.50468209490066,BC,ST,ST03,5.472930985029703
0,0,1.4104809929829778,HI,ST,ST03,5.608828265820026
1,1.13,0.5866029002585307,DZ,ST,ST03,3.189217863310539
0,0,0.6316579164738972,ST,ST,ST03,0
0,0,-2.0766427183617338,BC,ST,ST03,5.472930985029703
0,0,-1.0978983379033034,HI,ST,ST03,5.608828265820026
1,1.414,-0.31208257230989467,DZ,ST,ST04,3.189217863310539
0,0,-0.4435044945455019,ST,ST,ST04,0
1,0.399,-1.5802341004266582,BC,ST,ST04,5.472930985029703
1,0.667,0.7930337730725088,HI,ST,ST04,5.608828265820026
1,1.0659999999999998,-0.00315944111449849,DZ,ST,ST04,3.189217863310539
0,0,0.2284720123416228,ST,ST,ST04,0
1,0.147,0.07446129269026126,BC,ST,ST04,5.472930985029703
0,0,-0.5962224717260468,HI,ST,ST04,5.608828265820026
1,3.597,0.30576369008089765,DZ,ST,ST05,3.189217863310539
1,0.104,-0.2419115424793644,ST,ST,ST05,0
1,0.112,0.4054003713136454,BC,ST,ST05,5.472930985029703
0,0,-0.094546605548791,HI,ST,ST05,5.608828265820026
1,2.3280000000000003,0.7551064263651104,DZ,ST,ST05,3.189217863310539
0,0,1.4380297247384468,ST,ST,ST05,0
0,0,-1.4974993307708118,BC,ST,ST05,5.472930985029703
1,0.755,0.5229006143616781,HI,ST,ST05,5.608828265820026
0,0,0.3900154531341878,DZ,ST,ST06,3.189217863310539
0,0,-0.7122950973003517,ST,ST,ST06,0
1,0.171,-0.0910082466214301,BC,ST,ST06,5.472930985029703
1,0.45,-0.17172750803759937,HI,ST,ST06,5.608828265820026
0,0,-0.03124336213226168,DZ,ST,ST06,3.189217863310539
0,0,0.6316579164738972,ST,ST,ST06,0
1,0.27899999999999997,-0.1737430162772765,BC,ST,ST06,5.472930985029703
1,0.117,-1.5995742040805598,HI,ST,ST06,5.608828265820026
1,0.293,-0.11549512518555176,DZ,ST,ST07,3.189217863310539
0,0,0.16127436165291,ST,ST,ST07,0
1,0.406,1.4809523768396438,BC,ST,ST07,5.472930985029703
1,1.585,-0.364679764259621,HI,ST,ST07,5.608828265820026
1,2.678,1.0359456365427433,DZ,ST,ST07,3.189217863310539
0,0,-0.7122950973003517,ST,ST,ST07,0
1,0.181,0.7363394499370296,BC,ST,ST07,5.472930985029703
0,0,-0.6348129229704517,HI,ST,ST07,5.608828265820026
0,0,-0.6771735455408178,DZ,ST,ST08,3.189217863310539
0,0,1.3036344233610218,ST,ST,ST08,0
1,0.14300000000000002,1.8946262251188737,BC,ST,ST08,5.472930985029703
0,0,-0.71199382545926,HI,ST,ST08,5.608828265820026
0,0,0.24959584804537127,DZ,ST,ST08,3.189217863310539
0,0,0.0940767109641978,ST,ST,ST08,0
0,0,1.2327480678721052,BC,ST,ST08,5.472930985029703
0,0,-2.795878192657094,HI,ST,ST08,5.608828265820026
0,0,-1.0984323608072672,DZ,ST,ST09,3.189217863310539
0,0,-1.1154810014326264,ST,ST,ST09,0
0,0,0.07446129269026126,BC,ST,ST09,5.472930985029703
0,0,-0.98212698417009,HI,ST,ST09,5.608828265820026
0,0,-1.4354394130204269,DZ,ST,ST09,3.189217863310539
0,0,-0.2419115424793644,ST,ST,ST09,0
1,0.325,0.4881351409694911,BC,ST,ST09,5.472930985029703
1,0.184,0.831624224316913,HI,ST,ST09,5.608828265820026
1,0.625,0.0810923219387911,DZ,ST,ST10,3.189217863310539
1,0.08600000000000001,-0.3091091931680772,ST,ST,ST10,0
1,0.43599999999999994,0.5708699106253368,BC,ST,ST10,5.472930985029703
1,0.36,0.09840565067323064,HI,ST,ST10,5.608828265820026
0,0,-2.446460569659905,DZ,ST,ST10,3.189217863310539
0,0,-0.1075162411019394,ST,ST,ST10,0
0,0,-0.8356211735240441,BC,ST,ST10,5.472930985029703
1,1.584,0.09840565067323064,HI,ST,ST10,5.608828265820026
