Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,SoilSource_TreeID,Phylodist
1,0.156,0.6099532725587723,ST,SC,SC_1,1.5290704520341254
1,0.262,0.938070831409754,ST,SC,SC_1,1.5290704520341254
1,0.14200000000000002,0.6755767843289684,ST,SC,SC_2,1.5290704520341254
1,0.302,1.5286824373415213,ST,SC,SC_2,1.5290704520341254
1,0.257,-0.37439940399417293,ST,SC,SC_2,1.5290704520341254
0,0,0.15058869016739776,ST,SC,SC_3,1.5290704520341254
1,0.137,-0.8337639863855475,ST,SC,SC_3,1.5290704520341254
1,0.122,-1.2275050570067254,ST,SC,SC_3,1.5290704520341254
1,0.176,-0.3087758922239768,ST,SC,SC_4,1.5290704520341254
1,0.166,1.6599294608819137,ST,SC,SC_4,1.5290704520341254
1,0.115,0.21621220193759447,ST,SC,SC_4,1.5290704520341254
1,0.164,0.7412002960991652,ST,SC,SC_5,1.5290704520341254
1,0.221,0.8724473196395579,ST,SC,SC_5,1.5290704520341254
1,0.238,0.4130827372481834,ST,SC,SC_5,1.5290704520341254
1,0.189,2.316164578583877,ST,DZ,DZ_1,3.189217863310539
1,0.141,0.3474592254779867,ST,DZ,DZ_1,3.189217863310539
1,0.264,0.08496517839720165,ST,DZ,DZ_1,3.189217863310539
1,0.189,1.00369434317995,ST,DZ,DZ_2,3.189217863310539
0,0,-0.04628184514319116,ST,DZ,DZ_2,3.189217863310539
0,0,-0.17752886868358397,ST,DZ,DZ_2,3.189217863310539
1,0.175,1.5943059491117175,ST,DZ,DZ_3,3.189217863310539
1,0.14800000000000002,0.6755767843289684,ST,DZ,DZ_3,3.189217863310539
0,0,0.8068238078693613,ST,DZ,DZ_3,3.189217863310539
1,0.079,1.6599294608819137,ST,DZ,DZ_4,3.189217863310539
1,0.279,1.5943059491117175,ST,DZ,DZ_4,3.189217863310539
0,0,-1.0962580334663325,ST,DZ,DZ_4,3.189217863310539
1,0.032,-1.6868696393980998,ST,DZ,DZ_5,3.189217863310539
0,0,-0.04628184514319116,ST,DZ,DZ_5,3.189217863310539
1,0,-1.1618815452365292,ST,DZ,DZ_5,3.189217863310539
1,0.091,0.4787062490183795,ST,HI,HI_1,5.608828265820026
1,0.159,0.5443297607885762,ST,HI,HI_1,5.608828265820026
0,0,-0.9650110099259402,ST,HI,HI_1,5.608828265820026
0,0,1.4630589255713253,ST,HI,HI_2,5.608828265820026
1,0.155,0.21621220193759447,ST,HI,HI_2,5.608828265820026
0,0,-1.293128568776922,ST,HI,HI_2,5.608828265820026
1,0.06,-1.358752080547118,ST,HI,HI_3,5.608828265820026
1,0.172,-0.6368934510749585,ST,HI,HI_3,5.608828265820026
1,0.123,-1.489999104087511,ST,HI,HI_3,5.608828265820026
1,0.109,-1.2275050570067254,ST,HI,HI_4,5.608828265820026
1,0.25,-0.04628184514319116,ST,HI,HI_4,5.608828265820026
0,0,0.15058869016739776,ST,HI,HI_4,5.608828265820026
1,0.202,0.4787062490183795,ST,HI,HI_5,5.608828265820026
1,0.059,-0.37439940399417293,ST,HI,HI_5,5.608828265820026
0,0,-1.0306345216961363,ST,HI,HI_5,5.608828265820026
1,0.127,0.08496517839720165,ST,BC,BC_1,5.472930985029703
1,0.222,0.3474592254779867,ST,BC,BC_1,5.472930985029703
1,0.086,0.2818357137077906,ST,BC,BC_1,5.472930985029703
1,0.114,-1.0962580334663325,ST,BC,BC_2,5.472930985029703
1,0.241,-0.2431523804537801,ST,BC,BC_2,5.472930985029703
1,0.041,-0.7681404746153507,ST,BC,BC_2,5.472930985029703
0,0,-1.0306345216961363,ST,BC,BC_3,5.472930985029703
0,0,1.2005648784905396,ST,BC,BC_3,5.472930985029703
0,0,1.5943059491117175,ST,BC,BC_3,5.472930985029703
1,0.157,-0.17752886868358397,ST,BC,BC_4,5.472930985029703
1,0.133,-1.5556226158577071,ST,BC,BC_4,5.472930985029703
0,0,-0.8337639863855475,ST,BC,BC_4,5.472930985029703
1,0.232,-0.7681404746153507,ST,BC,BC_5,5.472930985029703
1,0.355,0.6755767843289684,ST,BC,BC_5,5.472930985029703
0,0,-1.293128568776922,ST,BC,BC_5,5.472930985029703
1,0.117,-1.0962580334663325,ST,ST,ST_1,0
1,0.099,-1.6868696393980998,ST,ST,ST_1,0
0,0,-0.5712699393047618,ST,ST,ST_1,0
1,0.121,-1.6212461276279035,ST,ST,ST_1,0
1,0.047,0.6099532725587723,ST,ST,ST_2,0
1,0.168,-0.37439940399417293,ST,ST,ST_2,0
1,0.098,-2.080610710019278,ST,ST,ST_2,0
1,0.125,-1.2275050570067254,ST,ST,ST_2,0
1,0.075,-0.2431523804537801,ST,ST,ST_3,0
0,0,-0.5056464275345657,ST,ST,ST_3,0
1,0.168,-0.2431523804537801,ST,ST,ST_3,0
1,0.075,-0.5056464275345657,ST,ST,ST_3,0
0,0,0.3474592254779867,ST,ST,ST_4,0
1,0.224,-0.17752886868358397,ST,ST,ST_4,0
1,0.05600000000000001,-1.293128568776922,ST,ST,ST_4,0
1,0.038,-1.0962580334663325,ST,ST,ST_4,0
1,0.262,-0.11190535691338728,ST,ST,ST_5,0
0,0,0.8724473196395579,ST,ST,ST_5,0
1,0.201,1.8567999961925032,ST,ST,ST_5,0
0,0,-0.3087758922239768,ST,ST,ST_5,0
